testing_network,filename,source,target_class,predicted_class,fastlin_eps
Dense3x47,Avg_MNIST_1.png,MNIST,1,1,2.4755859375
Dense3x47,Avg_MNIST_3.png,MNIST,3,3,5.0244140625
Dense2x37,Avg_Exp2_0.png,Exp2,0,0,11.6748046875
Dense2x37,Avg_Exp2_1.png,Exp2,1,3,0.1953125
Dense2x37,Avg_Exp2_3.png,Exp2,3,3,23.701171875
Dense2x37,Avg_MNIST_0.png,MNIST,0,0,6.4599609375
Dense2x37,Avg_MNIST_1.png,MNIST,1,1,3.0224609375
Dense2x37,Avg_MNIST_3.png,MNIST,3,3,5.966796875
Dense3x33,Avg_Exp2_0.png,Exp2,0,0,11.2744140625
Dense3x33,Avg_Exp2_1.png,Exp2,1,3,3.466796875
Dense3x33,Avg_Exp2_3.png,Exp2,3,3,20.849609375
Dense3x33,Avg_MNIST_0.png,MNIST,0,0,6.396484375
Dense3x33,Avg_MNIST_1.png,MNIST,1,1,2.265625
Dense3x33,Avg_MNIST_3.png,MNIST,3,3,4.2578125
Dense2x18,Avg_Exp2_0.png,Exp2,0,0,8.2421875
Dense2x18,Avg_Exp2_1.png,Exp2,1,3,1.6796875
Dense2x18,Avg_Exp2_3.png,Exp2,3,3,22.5390625
Dense2x18,Avg_MNIST_0.png,MNIST,0,0,5.4931640625
Dense2x18,Avg_MNIST_1.png,MNIST,1,1,4.2578125
Dense2x18,Avg_MNIST_3.png,MNIST,3,3,4.716796875
Dense3x29,Avg_Exp2_0.png,Exp2,0,0,4.521484375
Dense3x29,Avg_Exp2_1.png,Exp2,1,1,0.8251953125
Dense3x29,Avg_Exp2_3.png,Exp2,3,3,22.40234375
Dense3x29,Avg_MNIST_0.png,MNIST,0,0,5.8447265625
Dense3x29,Avg_MNIST_1.png,MNIST,1,1,2.8955078125
Dense3x29,Avg_MNIST_3.png,MNIST,3,3,4.775390625
Dense3x43,Avg_Exp2_0.png,Exp2,0,0,8.125
Dense3x43,Avg_Exp2_1.png,Exp2,1,2,3.06640625
Dense3x43,Avg_Exp2_3.png,Exp2,3,3,13.4375
Dense3x43,Avg_MNIST_0.png,MNIST,0,0,5.205078125
Dense3x43,Avg_MNIST_1.png,MNIST,1,1,2.4072265625
Dense3x43,Avg_MNIST_3.png,MNIST,3,3,3.3935546875
Dense3x32,Avg_Exp2_0.png,Exp2,0,0,11.9970703125
Dense3x32,Avg_Exp2_1.png,Exp2,1,2,2.1044921875
Dense3x32,Avg_Exp2_3.png,Exp2,3,3,16.7431640625
Dense3x32,Avg_MNIST_0.png,MNIST,0,0,6.9091796875
Dense3x32,Avg_MNIST_1.png,MNIST,1,1,2.4462890625
Dense3x32,Avg_MNIST_3.png,MNIST,3,3,3.9794921875
Dense3x12,Avg_Exp2_0.png,Exp2,0,0,12.333984375
Dense3x12,Avg_Exp2_1.png,Exp2,1,2,7.6318359375
Dense3x12,Avg_Exp2_3.png,Exp2,3,3,12.2900390625
Dense3x12,Avg_MNIST_0.png,MNIST,0,0,6.9091796875
Dense3x12,Avg_MNIST_1.png,MNIST,1,1,2.822265625
Dense3x12,Avg_MNIST_3.png,MNIST,3,3,5.224609375
Dense2x40,Avg_Exp2_0.png,Exp2,0,0,12.0654296875
Dense2x40,Avg_Exp2_1.png,Exp2,1,2,1.0107421875
Dense2x40,Avg_Exp2_3.png,Exp2,3,3,20.8935546875
Dense2x40,Avg_MNIST_0.png,MNIST,0,0,6.6796875
Dense2x40,Avg_MNIST_1.png,MNIST,1,1,3.017578125
Dense2x40,Avg_MNIST_3.png,MNIST,3,3,5.712890625
Dense2x19,Avg_Exp2_0.png,Exp2,0,0,3.232421875
Dense2x19,Avg_Exp2_1.png,Exp2,1,1,6.2744140625
Dense2x19,Avg_Exp2_3.png,Exp2,3,3,22.5927734375
Dense2x19,Avg_MNIST_0.png,MNIST,0,0,5.673828125
Dense2x19,Avg_MNIST_1.png,MNIST,1,1,4.208984375
Dense2x19,Avg_MNIST_3.png,MNIST,3,3,5.8056640625
Dense3x36,Avg_Exp2_0.png,Exp2,0,0,10.3173828125
Dense3x36,Avg_Exp2_1.png,Exp2,1,8,0.4248046875
Dense3x36,Avg_Exp2_3.png,Exp2,3,3,10.8984375
Dense3x36,Avg_MNIST_0.png,MNIST,0,0,5.595703125
Dense3x36,Avg_MNIST_1.png,MNIST,1,1,2.1240234375
Dense3x36,Avg_MNIST_3.png,MNIST,3,3,1.8310546875
Dense2x32,Avg_Exp2_0.png,Exp2,0,0,13.056640625
Dense2x32,Avg_Exp2_1.png,Exp2,1,3,0.1513671875
Dense2x32,Avg_Exp2_3.png,Exp2,3,3,22.6171875
Dense2x32,Avg_MNIST_0.png,MNIST,0,0,7.2509765625
Dense2x32,Avg_MNIST_1.png,MNIST,1,1,3.1005859375
Dense2x32,Avg_MNIST_3.png,MNIST,3,3,4.9365234375
Dense3x48,Avg_Exp2_0.png,Exp2,0,0,9.5263671875
Dense3x48,Avg_Exp2_1.png,Exp2,1,1,2.83203125
Dense3x48,Avg_Exp2_3.png,Exp2,3,3,13.8330078125
Dense3x48,Avg_MNIST_0.png,MNIST,0,0,5.5712890625
Dense3x48,Avg_MNIST_1.png,MNIST,1,1,2.3291015625
Dense3x48,Avg_MNIST_3.png,MNIST,3,3,2.890625
