testing_network,generating_network,target_class,som_mode,predicted_class,filename,fastlin_eps
Dense1x60,Dense4x20,3,independent,3,Dense4x20_3_independent.png,15.4052734375
Dense1x60,Dense4x20,3,mean_relative,3,Dense4x20_3_mean_relative.png,13.8134765625
Dense1x60,Dense4x20,3,second_place_relative,3,Dense4x20_3_second_place_relative.png,18.134765625
Dense1x60,Dense5x20,0,independent,0,Dense5x20_0_independent.png,4.5849609375
Dense1x60,Dense5x20,0,mean_relative,0,Dense5x20_0_mean_relative.png,5.0
Dense1x60,Dense5x20,0,second_place_relative,0,Dense5x20_0_second_place_relative.png,11.4697265625
Dense1x60,Dense5x20,1,independent,2,Dense5x20_1_independent.png,5.966796875
Dense1x60,Dense5x20,1,mean_relative,2,Dense5x20_1_mean_relative.png,4.00390625
Dense1x60,Dense5x20,1,second_place_relative,2,Dense5x20_1_second_place_relative.png,3.369140625
Dense1x60,Dense5x20,3,independent,3,Dense5x20_3_independent.png,5.2099609375
Dense1x60,Dense5x20,3,mean_relative,3,Dense5x20_3_mean_relative.png,5.4931640625
Dense1x60,Dense5x20,3,second_place_relative,3,Dense5x20_3_second_place_relative.png,13.896484375
Dense1x60,Dense6x10,0,independent,5,Dense6x10_0_independent.png,2.48046875
Dense1x60,Dense6x10,0,mean_relative,5,Dense6x10_0_mean_relative.png,4.6044921875
Dense1x60,Dense6x10,0,second_place_relative,2,Dense6x10_0_second_place_relative.png,5.5517578125
Dense1x60,Dense6x10,1,independent,6,Dense6x10_1_independent.png,2.3828125
Dense1x60,Dense6x10,1,mean_relative,6,Dense6x10_1_mean_relative.png,13.7939453125
Dense1x60,Dense6x10,1,second_place_relative,3,Dense6x10_1_second_place_relative.png,0.3662109375
Dense1x60,Dense6x10,3,independent,5,Dense6x10_3_independent.png,2.626953125
Dense1x60,Dense6x10,3,mean_relative,5,Dense6x10_3_mean_relative.png,2.6123046875
Dense1x60,Dense6x10,3,second_place_relative,3,Dense6x10_3_second_place_relative.png,0.7421875
